가까운
몰상식한
몰염치한
몰인정한
몰지각한
못난
못된
못마땅한
못미더운
몽롱한
묘한
무가치한
무감각한
무고한
무관심한
무관한
무구한
무궁무진한
무궁한
무기력한
무난한
무능력한
무던한
무덤덤한
무딘
무뚝뚝한
무력한
무례한
무모한
무미한
무방한
무분별한
무사태평한
무상한
무색한
무서운
무성의한
무성한
무수한
무시무시한
무식한
무안한
무엄한
무의미한
무익한
무자비한
무절제한
무정한
무지막지한
무지몽매한
무지한
무질서한
무참한
무책임한
무취미한
무표정한
무한한
무해한
묵묵한
묵직한
문란한
문제없는
물렁물렁한
물샐틈없는
물씬한
물컹한
뭉클한
뭉툭한
뭣한
미개한
미끈미끈한
미끈한
미끌미끌한
미더운
미려한
미력한
미련스러운
미련한
미묘한
미미한
미쁜
미숙한
미안스러운
미약한
미지근한
미진한
미천한
미흡한
민감한
민망한
민첩한
믿음직한
밀접한
미운
밉살스러운
밋밋한
바람직한
바쁜
바지런한
박식한
박한
박학다식한
반듯한
반반한
반지르르한
반질반질한
발그레한
발랄한
발칙한
밝은
방정맞는
배부른
뱃심좋은
벅찬
번듯한
번화한
벌떼같은
변함없는
별수없는
보들보들한
보람찬
보배로운
보송보송한
보통인
복스러운
복잡한
봉긋한
부끄러운
부단한
부담스러운
부드러운
부들부들한
부러운
부산스러운
부유한
부자연스러운
부지런한
분명한
분분한
분주한
분한
불가사의한
불가피한
불규칙한
불그스레한
불량한
사교적인
사나이다운
사나운
사내다운
사람다운
사랑스러운
사뿐한
사소한
사악한
사위스러운
사정없는
사치스러운
산란한
산만한
살기등등한
살뜰한
살벌한
살피는
삼삼한
삼엄한
상관없는
상관있는
상냥한
상당한
상서로운
상이한
상쾌한
상큼한
새삼스러운
새침한
새콤달콤한
새콤한
색다른
생경한
생기발랄한
생생한
생소한
샤프한
서글서글한
서글픈
서늘한
서러운
서릿발같은
서먹한
서슴없는
서운한
서투른
선명한
선선한
설운
섬뜩한
섬세한
섭섭한
성가신
성급한
성대한
성의없는
센
세밀한
세세한
세심한
섹시한
센티멘털한
센티한
소란스러운
소란한
소박한
소상한
소소한
소신있는
소심한
소중한
소탈한
소탕한
소홀한
속시원한
속쓰린
손부끄러운
손쉬운
솔직한
쇠약한
쇼킹한
수고스러운
수다스러운
수더분한
수두룩한
수려한
수북한
수상쩍은
수상한
수선스러운
수수한
수월한
수줍은
숙달한
순박한
순진한
순한
숱한
쉬운
슬기로운
슬픈
습한
시급한
시끄러운
시끌벅적한
시들시들한
시들한
시름없는
시무룩한
시시콜콜한
시시한
시원섭섭한
시원스러운
시원시원한
시원한
시큰둥한
시큰한
시큼한
신경질적인
신기로운
신기한
신비한
신선한
신성한
신속한
신실한
신중한
신통방통한
신통한
실망스러운
실속없는
실속있는
실한
심각한
심난한
심대한
심도있는
심란한
심술궂은
심심한
심오한
심통맞은
심한
십상인
싱거운
싱숭생숭한
싱싱한
싸늘한
싹수없는
싹싹한
쌀쌀맞는
쌀쌀한
쌉쌀한
쌩쌩한
썰렁한
쏜살같은
쑥스러운
쓴
쓰린
쓸쓸한
씁쓰레한
씁쓸한
씩씩한
아기자기한
아까운
아낌없는
아늑한
아담한
아득한
아련한
아름다운
아리송한
아쉬운
아슬아슬한
아찔아찔한
아찔한
아픈
악독한
악랄한
악명높은
악착같은
악한
안녕한
안락한
안쓰러운
안이한
안일한
안전한
안타까운
알뜰살뜰한
알뜰한
알량한
알록달록한
알맞는
알쏭달쏭한
암담한
암울한
앙상한
앙큼한
애교스러운
애교있는
애달픈
애매모호한
애석한
애잔한
애절한
애처로운
애통한
애틋한
야단스러운
야릇한
야만스러운
야멸찬
야비한
야속한
야심만만한
약은
약소한
약아빠진
약한
얄미운
얄팍한
얇은
얌전한
얕은
어김없는
어두컴컴한
어둑어둑한
어둑한
어두운
어려운
어른다운
어른스러운
어린
어리둥절한
어리벙벙한
어림없는
어마어마한
어색한
어수룩한
어수선한
어슴푸레한
어엿한
어정쩡한
어줍은
어중간한
어지러운
어진
어질어질한
어쭙잖은
억센
억울한
억척같은
억척스러운
얼떨떨한
얼뜬
얼룩덜룩한
얼음장같은
얼큰한
엄격한
엄밀한
엄숙한
엄연한
엄정한
엄중한
엄청난
엄한
엇비슷한
엉뚱한
엉성한
엉큼한
에누리없는
여간한
여린
여실한
여유작작한
여전한
여차한
연로한
연약한
연연한
열렬한
열심인
열악한
염려스러운
염려한
영광된
영광스러운
영락없는
영롱한
영리한
영민한
영세한
영악스러운
영악한
영예로운
영원한
영특한
영험한
영화로운
옅은
예리한
예민한
예쁜
예쁘장한
예사로운
옛스러운
오동통한
오래된
오목한
오묘한
오붓한
오색찬란한
오죽한
온건한
온난한
온당한
온데간데없는
온순한
온유한
온화한
온후한
올록볼록한
올망졸망한
올바른
옳은
옹색한
옹졸한
완강한
완고한
완곡한
완만한
완벽한
완숙한
완연한
완전한
완패한
왕성한
왜소한
외람된
외로운
외유내강한
요긴한
요란스러운
요란한
요망스러운
요망한
요사스러운
요상스러운
요상한
요염한
요원한
욕된
용감한
용기없는
용기있는
용렬한
용맹스러운
용맹한
용서없는
용의주도한
용이한
용한
우글쭈글한
우둔한
우락부락한
우렁찬
우리부리한
우매한
우세한
우수한
우스꽝스러운
우아한
우악스러운
우연한
우월한
우유부단한
우중충한
우직한
울긋불긋한
울적한
울창한
울퉁울퉁한
웅장한
원대한
원망스러운
원통한
원활한
웬만한
위급한
위대한
위엄스러운
위중한
위태로운
위태한
위풍당당한
위험스러운
위험천만한
위험한
유감스러운
유감있는
유구한
유난스러운
유난한
유능한
유독한
유들유들한
유려한
유력한
유례없는
유리한
유망한
유머러스한
유명무실한
유명한
유별스러운
유복한
유사한
유순한
유식한
유약한
유연한
유용한
유유한
유의미한
유의한
유익한
유일무이한
유일한
유창한
유치한
유쾌한
유한
유한한
유효한
육중한
윤택한
융성한
융숭한
으리으리한
으스스한
으슥한
으슬으슬한
으쓱한
은밀한
은은한
은혜로운
을씨년스러운
음란한
음산스러운
음산한
음울한
음침한
음탕한
음험한
음흉스러운
음흉한
의구한
의기양양한
의로운
의문스러운
의미심장한
의미없는
의미있는
의심많은
의심스러운
의아스러운
의아한
의연한
의젓한
이로운
이른
이름없는
이만저만한
이만한
이상스러운
이상야릇한
이상없는
이유없는
이채로운
익살스러운
익숙한
인간다운
인상깊은
인색한
인자스러운
인자한
인정사정없는
인정스러운
인정없는
일목요연한
일사불란한
일정한
일천한
자그마한
자명한
자비한
자상한
자세한
자신만만한
자신있는
자애로운
자약한
자연스러운
자옥한
자욱한
자유스러운
자자한
자잘한
자질구레한
자혜로운
작은
잔악한
잔인한
잔잔한
잔학한
잔혹한
잘록한
잘빠진
잠잠한
잡다한
잡스러운
장구한
장난스러운
장대한
장렬한
장엄한
장중한
장황스러운
장황한
재미없는
재수없는
재주있는
재치있는
잽싼
쟁쟁한
저능한
저러한
저만한
저명한
저속한
저조한
저질인
적나라한
적당한
적막한
적적한
적절한
적정한
적합한
적확한
전능한
전도양양한
전무한
전무후무한
전지전능한
절교한
절묘한
절박한
절절한
젊은
정갈한
정결한
정겨운
정교한
정다운
정당한
정밀한
정성스러운
정성어린
정숙한
정연한
정의로운
정정당당한
정정한
정직한
정확한
조급한
조밀한
조속한
조숙한
조신한
조심성없는
조심성있는
조심스러운
조악한
조용한
조잡한
조촐한
조화로운
족한
존귀한
존엄한
졸깃한
졸렬한
졸속한
좁은
좋은
죄송스러운
죄송한
죄스러운
주도면밀한
주옥같은
주요한
주접스러운
주제넘는
주책없는
준엄한
중대한
중요한
중후한
쥐꼬리만한
쥐방울만한
즐비한
증오스러운
지각없는
지겨운
지고지순한
지고한
지극한
지긋지긋한
지긋한
지나친
지난한
지당한
지대한
지독스러운
지독한
지루한
지순한
지엄한
지저분한
지혜로운
진귀한
진기한
진득한
진배없는
진부한
진솔한
진실한
진심인
진중한
진지한
진한
질긴
질펀한
집요한
짓궂은
징그러운
징글맞는
짙은
짜릿짜릿한
짜릿한
짜증스러운
짠한
짤막한
짧은
짭짤한
째진
쪼글쪼글한
쫀득한
쫀쫀한
쫄깃쫄깃한
쫄깃한
쭈글쭈글한
쭈뼛한
찌릿한
찜찜한
찝찔한
찡한
차가운
차근한
찬
차분한
착실한
착잡한
착한
찬란한
찬연한
찬찬한
참담한
참다운
참신한
참혹한
창백한
창연한
창창한
창피한
채신머리없는
채신없는
처량한
처연한
처절한
처참한
척박한
천덕스러운
천만다행한
천연덕스러운
천연한
천진난만한
천진무구한
천진한
철두철미한
철벽같은
철석같은
철저한
철통같은
첨예한
청결한
청량한
청렴한
청백한
청빈한
청순한
청정한
청초한
초라한
초롱초롱한
초연한
초조한
초췌한
촉박한
촉촉한
촌스러운
촘촘한
총명한
총총한
추상같은
추악한
추잡스러운
추잡한
추한
축축한
출중한
출출한
추운
충만한
충분한
충실한
충직한
취약한
측은한
치밀한
치사스러운
치사한
치열한
치욕스러운
치졸한
칙칙한
친근한
친밀한
친절한
친한
칠칠맞는
침울한
침착한
침침한
침통한
타당한
타이트한
탁월한
탁한
탄탄한
탐욕스러운
태만한
태산같은
태연한
태평스러운
태평한
탱탱한
턱없는
털털한
텁텁한
토실토실한
토실한
통렬한
통쾌한
통큰
통통한
투철한
퉁명한
특수한
특유한
특이한
튼튼한
틀림없는
티없는
카랑카랑한
칼칼한
캄캄한
컴컴한
쾌적한
쾌청한
쾌활한
퀭한
큰
큼지막한
큼직한
파다한
파란만장한
파릇파릇한
파릇한
파리한
판이한
패기만만한
패악스러운
팽팽한
퍼석한
펄펄한
한
하얀
한가로운
한가한
한랭한
한량없는
한산한
한스러운
한심한
할일없는
합당한
펑퍼짐한
편리한
편안한
편찮은
편평한
편한
편협한
평등한
평범한
평안한
평온한
평이한
평정한
평탄한
평화로운
포동포동한
포악스러운
포악한
폭신한
표독한
푸근한
푸릇한
푸석한
푸짐한
푹신푹신한
푹신한
품위있는
풋풋한
풍만한
풍부한
풍성한
풍요로운
풍요한
풍족한
피곤한
피로한
필사적인
필요한
해괴한
해로운
해묵은
해박한
해밝은
해이한
핸섬한
핼쑥한
행복한
향긋한
향기로운
허구한
허다한
허름한
허망한
허무맹랑한
허무한
허물없는
허술한
허심탄회한
허전한
허탈한
허풍스러운
허황된
헌신짝같은
헐렁한
험난한
험악한
험준한
헛된
헤픈
혁혁한
현격한
현란한
현명한
현숙한
현저한
혐오스러운
협소한
형통한
형편없는
형형한
호강스러운
호기스러운
호기심있는
호된
호들갑스러운
호락호락한
호리호리한
호방한
호사스러운
호젓한
호쾌한
호탕한
호화로운
호화스러운
호화찬란한
혹독한
혹심한
혼란스러운
혼란한
혼미한
혼잡스러운
혼잡한
혼탁한
홀가분한
홀쭉한
화급한
화기애애한
화끈한
화려한
화목한
화사한
화창한
화평한
확고한
확실한
확연한
환한
활달한
활발한
황공한
황급한
황당무계한
황당한
황량한
황망한
황송한
획기적인
효성스러운
후덕한
후덥지근한
후련한
후줄근한
후한
후회스러운
훈훈한
훌륭한
훤칠한
휘황찬란한
휘황한
흉악한
흉측한
흉한
흐린
흐리멍텅한
흐릿한
흐뭇한
흔쾌한
흔한
흡사한
흡족한
흥건한
흥미진진한
흰
희망찬
희미한
희박한
희한한
힘겨운
힘없는
힘있는
